Country,Well-being,GDP,Equality,Food consumption,Alcohol consumption,Energy consumption,Family,Working hours,Work income,Health spending,Military spending
Austria,5.37,26171.6909118266,70.85,3760.36,13.24,2076.20046430559,1.4054,31.8173076923077,30.4599990844727,15.74170456,0.812633138406514
Belgium,5.04,24512.4131357791,67.03,3674.95,10.77,2189.60817576378,1.76,30.2115384615385,31.8500003814697,14.56966432,1.07706638982025
Bulgaria,4.59,2332.36313147858,69.4166666666667,2749.46,12.44,1260.15063300172,1.39,,,11.42211835,2.26135606371592
Cyprus,5.12,14719.257659,,3202.02,9.26,1912.87528640152,1.51,,,6.25680805,2.1059625142776
Denmark,5.93,32400.0606104087,75.3,3404.26,13.37,1940.11389444326,1.85,30.265385554387,35.4500007629394,16.28283846,1.42021096319758
Estonia,4.80,6570.33013867989,63.502,3127.11,15.57,1265.01529449164,1.558,,,10.93664022,1.87442553058142
Finland,5.39,27495.2413640093,73.12,3217.47,12.52,4041.73230273053,1.84,32.9519230769231,29.8999996185303,12.6844673,1.37604440020511
France,4.88,23133.3511348738,67.26,3540.73,13.66,2416.88267993882,1.95,30.155768761268,24.8999996185303,16.48978809,2.41680828346427
Germany,5.01,24463.8464685677,71.69,3519.28,12.81,1717.07743798799,1.35,27.5519221379207,34.2099990844727,17.92392951,1.31228661567051
Hungary,4.74,5868.30169997565,71.544,3463.01,16.27,1147.44794433289,1.31,38.2538452148438,6.28999996185303,11.30684788,1.25302787439522
Ireland,5.44,30669.3725876937,65.72,3552.36,14.41,1990.149496521,2.06,31.5384615384615,25.9599990844727,16.75948638,0.532257670307308
Netherlands,5.31,26007.6791374784,69.1,3217.65,10.05,1506.08062802926,1.72,26.75,32.3400001525879,16.14531395,1.50773024123684
Norway,5.69,41245.8086253639,74.21,3421.47,7.81,7298.49707427312,1.862,27.0807682917668,41.0499992370606,17.9036693,1.4738621268057
Poland,4.81,5552.5012696159,65.8833333333333,3394.36,13.25,686.920467254358,1.28,38.1730769230769,4.98999977111816,9.88106982,1.93777351794429
Portugal,4.89,11716.0089602508,61.55,3574.31,14.55,1264.24452496589,1.39,33.8076923076923,7.65000009536743,14.95030163,2.01547476802147
Slovakia,4.57,7334.10975906285,72.0716666666667,2904.1,13.33,841.597136327068,1.23,33.6346153846154,,13.74585688,1.6326806671155
Slovenia,4.91,12588.1083842062,69.6266666666667,3212.38,15.19,1519.91168688789,1.33,,,13.41413572,1.56224854713757
Spain,5.34,16074.4617847975,65.34,3231.84,11.62,1751.2502801511,1.37,31.8211529071514,18.8299999237061,15.51798367,1.16747349441478
Sweden,5.44,32431.9403985136,75,3111.68,10.1,4602.34307936166,1.869,30.3036545973558,31.7999992370606,13.77174677,1.39753029397381
Switzerland,5.66,37877.182487742,66.32,3427.98,11.06,2353.31497325734,1.43,31.8711547851562,30.6700000762939,18.99617671,0.85089126043086
Ukraine,4.39,1037.31225901738,71.77375,3251.21,15.6,592.646080941938,1.3,,,8.69510132,2.77164694488499
United Kingdom,4.98,28913.0962918089,64.03,3437.22,13.37,1921.65630197802,1.77,32.0903836763822,27.1000003814697,15.58877599,2.35142785961432