School,Department,Quality
SAS,TURK,3.92166666666667
SAS,YDSH,3.68333333333333
SAS,PRTG,3.57440476190476
SAS,CHIN,3.43560267857143
SAS,JPAN,3.42813432835821
SAS,HEBR,3.41264900662252
SAS,WH,3.39564102564103
SAS,GREK,3.39485714285714
SAS,SKRT,3.38916666666667
SAS,PERS,3.36333333333333
SAS,BFMD,3.33461538461538
SAS,LSMP,3.30095238095238
SAS,NGG,3.2875
SAS,KORN,3.286
SAS,GRMN,3.24671296296296
SAS,RUSS,3.23459016393443
SAS,URDU,3.20705882352941
SAS,CAMB,3.19736842105263
SAS,ENGL,3.19725663716814
SAS,FNAR,3.17959359605911
SAS,LATN,3.17147540983607
SAS,THAR,3.12027027027027
SAS,FREN,3.11361525704809
SAS,JWST,3.11212389380531
SAS,ITAL,3.10628571428571
SAS,CINE,3.09357005758157
SAS,LGST,3.0907658643326
SAS,MUSC,3.08232067510549
SAS,SPAN,3.07745489078822
SAS,CLST,3.06224358974359
SAS,ASAM,3.05922077922078
SAS,CPLN,3.05285714285714
SAS,OPIM,3.04524861878453
SAS,ANCH,3.04142857142857
SAS,ARAB,3.03931623931624
SAS,EALC,3.0375
SAS,GSWS,3.03741496598639
SAS,GAFL,3.0225
SAS,HIST,3.02070257611241
SAS,GSOC,2.99804347826087
SAS,COML,2.99340336134454
SAS,SAST,2.98794736842105
SAS,RELS,2.96977876106195
SAS,ARTH,2.96410909090909
SAS,HIND,2.9625
SAS,LALS,2.9524
SAS,AFRC,2.95116972477064
SAS,NELC,2.93517133956386
SAS,NURS,2.92976200246204
SAS,PSCI,2.92586034912718
SAS,HCMG,2.91852272727273
SAS,COLL,2.916
SAS,STSC,2.90587570621469
SAS,HSOC,2.90227272727273
SAS,BIBB,2.89949152542373
SAS,VIPR,2.89916666666667
SAS,PSYC,2.88927613941019
SAS,EDUC,2.889
SAS,COMM,2.88782258064516
SAS,INTR,2.88557894736842
SAS,VLST,2.87695852534562
SAS,REAL,2.87684684684685
SAS,SLAV,2.87
SAS,AFST,2.83084337349398
SAS,PHIL,2.80289752650177
SAS,ARCH,2.78278260869565
SAS,PPE,2.76976878612717
SAS,MEAM,2.76270386266094
SAS,IPD,2.75210526315789
SAS,AAMW,2.74892857142857
SAS,URBS,2.74865336658354
SAS,BIOL,2.7472745490982
SAS,NETS,2.74545454545455
SAS,MGMT,2.72250396196513
SAS,MKTG,2.72016513761468
SAS,CRIM,2.72
SAS,ENVS,2.71762589928058
SAS,ANTH,2.70940298507463
SAS,FNCE,2.70614232209738
SAS,CIS,2.69925925925926
SAS,BCHE,2.69727272727273
SAS,COGS,2.69
SAS,PHYS,2.68986111111111
SAS,INTG,2.67075757575758
SAS,LING,2.64384105960265
SAS,FOLK,2.63242105263158
SAS,SOCI,2.62570121951219
SAS,INSR,2.62444444444444
SAS,EAS,2.60373134328358
SAS,LGIC,2.57666666666667
SAS,GEOL,2.57218390804598
SAS,MSE,2.56136752136752
SAS,ASTR,2.54349206349206
SAS,ENGR,2.5385
SAS,ECON,2.50475195822454
SAS,CBE,2.48967741935484
SAS,BE,2.45602409638554
SAS,BEPP,2.45277777777778
SAS,STAT,2.43531428571429
SAS,ACCT,2.39975708502024
SAS,GCB,2.395
SAS,WRIT,2.33033698399326
SAS,BPUB,2.31703196347032
SAS,CHEM,2.3007650273224
SAS,ESE,2.24680597014925
SAS,MATH,2.21878854625551
SAS,ENM,2.03588235294118
SAS,