Course Quality,Instructor Quality,Communication Ability,Difficulty,Instructor Access,Readings Value,Amount Learned,Work Required
2.89712317,3.166485788,3.021139489,2.470756385,3.226373816,2.716132644,2.860962672,2.434151593
2.90048996,3.162104418,3.010443396,2.553537736,3.217325301,2.680497992,2.860990566,2.467702811
2.925418393,3.207663629,3.064792671,2.496991321,3.248956089,2.723769677,2.8824108,2.410074565
2.951896685,3.219429453,3.094428312,2.530789474,3.252814187,2.736383963,2.926724138,2.469090208
2.968428571,3.23297619,3.110612813,2.511132776,3.262595238,2.729142857,2.945580316,2.456992063
2.95552673,3.236548742,3.093157895,2.499538319,3.267327044,2.724630503,2.918227147,2.439740566
2.959265403,3.211026856,3.087052342,2.473241506,3.254352291,2.751153239,2.916584022,2.43028436
2.955302013,3.22261745,3.080590308,2.502819383,3.256144668,2.719075317,2.919145374,2.473639075
3.007610015,3.247063733,3.121346831,2.496610915,3.282116844,2.777572079,2.957244718,2.453649469
2.987311747,3.241581325,3.101208889,2.521244444,3.274585843,2.759932229,2.942488889,2.500549699
3.016331583,3.248717179,3.129121447,2.494780362,3.299609902,2.800375094,2.986778639,2.485776444
3.019053381,3.261224199,3.127844756,2.527060281,3.304419929,2.778142349,2.989529315,2.516491103
3.030650407,3.259216556,3.140319596,2.500277544,3.306444937,2.78902439,3.008082422,2.481071693
3.025081387,3.277650389,3.139193012,2.506214642,3.288980892,2.779872611,2.994742097,2.50616419
2.851345144,3.071253281,2.946826347,2.535583832,3.141562705,2.655141169,2.820838323,2.527445831
2.83655527,3.092628535,2.948103448,2.53976012,3.154797428,2.649562138,2.814782609,2.522938907
2.833901809,3.074282946,2.951912202,2.54625744,3.165539754,2.674621849,2.821830357,2.530711054
2.868462524,3.111396541,2.980430267,2.544180875,3.185651895,2.666356041,2.855218681,2.533378292
2.84344782,3.090607662,2.989741051,2.556694593,3.174273448,2.672186262,2.840898705,2.518631857
2.884810045,3.130966495,2.972012103,2.564988662,3.192664516,2.681083551,2.876070336,2.540502901
2.901973435,3.149355654,3.048574545,2.533796364,3.168646426,2.697729285,2.910101818,2.512265823
2.858158751,3.137573195,3.092546296,2.535512722,3.133896529,2.650232843,2.909179487,2.471982984
2.828960957,3.12122796,3.092284483,2.534224138,3.103635212,2.590826347,2.948981481,2.501646612
2.828724832,3.108962782,3.058944405,2.514272599,3.0753146,2.58079865,2.884452663,2.475873697
2.832068966,3.09248538,3.115936884,2.475699208,3.101498829,2.57721547,2.943606103,2.459935408
2.806863799,3.082511933,3.078427586,2.468877339,3.106824163,2.531746385,2.849336283,2.448203125
2.837804734,3.104118343,3.122255291,2.475770252,3.120656805,2.600898483,2.950647059,2.477707838